modern_name,old_name,both_names
1-й Люсиновский переулок,улица Ремизова,1-й Люсиновский переулок | улица Ремизова
улица Павла Корчагина,улица Павла Корчагина,улица Павла Корчагина | улица Павла Корчагина
улица Макаренко,Лобковский переулок,улица Макаренко | Лобковский переулок
Прасковьина улица,Марьинская улица,Прасковьина улица | Марьинская улица
улица Маши Порываевой,Домниковская улица,улица Маши Порываевой | Домниковская улица
Мещанская улица,4-я Мещанская улица,Мещанская улица | 4-я Мещанская улица
улица Можайский вал,улица Можайский Камер-Коллежский вал,улица Можайский вал | улица Можайский Камер-Коллежский вал
Лодочная улица,улица Молотова,Лодочная улица | улица Молотова
Моховая улица,проспект Маркса,Моховая улица | проспект Маркса
Мясницкая улица,улица Кирова,Мясницкая улица | улица Кирова
Невольный переулок,Чириков переулок,Невольный переулок | Чириков переулок
Большая Никитская улица,улица Герцена,Большая Никитская улица | улица Герцена
Николоямская улица,Ульяновская улица,Николоямская улица | Ульяновская улица
Никольская улица,улица 25-го Октября,Никольская улица | улица 25-го Октября
Новинский бульвар,улица Чайковского,Новинский бульвар | улица Чайковского
Факультетский переулок,Большой Новокоптевский проезд,Факультетский переулок | Большой Новокоптевский проезд
Новолесная улица,улица Новая Лесная,Новолесная улица | улица Новая Лесная
Новорязанская улица,Рязанская улица,Новорязанская улица | Рязанская улица
площадь Варварские ворота,площадь Ногина,площадь Варварские ворота | площадь Ногина
улица Образцова,Институтская улица,улица Образцова | Институтская улица
Озерковский переулок,1-й Озерковский переулок,Озерковский переулок | 1-й Озерковский переулок
улица Олений вал,улица Олений Камер-Коллежский вал,улица Олений вал | улица Олений Камер-Коллежский вал
улица Остоженка,Метростроевская улица,улица Остоженка | Метростроевская улица
переулок Огородная Слобода,переулок Стопани,переулок Огородная Слобода | переулок Стопани
улица Черняховского,Отцовский проезд,улица Черняховского | Отцовский проезд
улица Охотный Ряд,проспект Маркса,улица Охотный Ряд | проспект Маркса
улица Павла Андреева,Арсеньевский переулок,улица Павла Андреева | Арсеньевский переулок
Большой Палашёвский переулок,Южинский переулок,Большой Палашёвский переулок | Южинский переулок
Большой Патриарший переулок,переулок Адама Мицкевича,Большой Патриарший переулок | переулок Адама Мицкевича
Петровский переулок,улица Москвина,Петровский переулок | улица Москвина
Поварская улица,улица Воровского,Поварская улица | улица Воровского
улица Покровка,улица Чернышевского,улица Покровка | улица Чернышевского
Большой Предтеченский переулок,Большевистская улица,Большой Предтеченский переулок | Большевистская улица
улица Пресненский вал,улица Пресненский Камер-Коллежский вал,улица Пресненский вал | улица Пресненский Камер-Коллежский вал
улица Пречистенка,Кропоткинская улица,улица Пречистенка | Кропоткинская улица
Протопоповский переулок,Безбожный переулок,Протопоповский переулок | Безбожный переулок
переулок Расковой,Шайкин переулок,переулок Расковой | Шайкин переулок
Малый Ржевский переулок,улица Палиашвили,Малый Ржевский переулок | улица Палиашвили
улица Рождественка,улица Жданова,улица Рождественка | улица Жданова
Романов переулок,улица Грановского,Романов переулок | улица Грановского
улица Россолимо,Большой Боженинский переулок,улица Россолимо | Большой Боженинский переулок
1-й Рощинский проезд,Рощинский проезд,1-й Рощинский проезд | Рощинский проезд
Русаковская набережная,Старая Дворцовая набережная,Русаковская набережная | Старая Дворцовая набережная
улица Серафимовича,Всехсвятская улица,улица Серафимовича | Всехсвятская улица
улица Сергия Радонежского,Тулинская улица,улица Сергия Радонежского | Тулинская улица
улица Серёгина,Пеговский переулок,улица Серёгина | Пеговский переулок
Сигнальный проезд,Нововладыкинская улица,Сигнальный проезд | Нововладыкинская улица
1-й Силикатный проезд,Силикатный проезд,1-й Силикатный проезд | Силикатный проезд
Большой Спасоглинищевский переулок,улица Архипова,Большой Спасоглинищевский переулок | улица Архипова
улица Спиридоновка,улица Алексея Толстого,улица Спиридоновка | улица Алексея Толстого
Таганская улица,Советская улица,Таганская улица | Советская улица
Большая Татарская улица,улица Землячки,Большая Татарская улица | улица Землячки
улица Тимура Фрунзе,Теплый переулок,улица Тимура Фрунзе | Теплый переулок
Большой Трёхсвятительский переулок,Большой Вузовский переулок,Большой Трёхсвятительский переулок | Большой Вузовский переулок
улица 1905 года,Воскресенскя улица,улица 1905 года | Воскресенскя улица
Угловой переулок,Столбов переулок,Угловой переулок | Столбов переулок
Упорный переулок,Мараевский переулок,Упорный переулок | Мараевский переулок
улица Василия Петушкова,улица Фабричная,улица Василия Петушкова | улица Фабричная
улица Фадеева,5-я Тверская-Ямская улица,улица Фадеева | 5-я Тверская-Ямская улица
улица Фридриха Энгельса,Ирининская улица,улица Фридриха Энгельса | Ирининская улица
Фрунзенская набережная,Хамовническая набережная,Фрунзенская набережная | Хамовническая набережная
переулок Хользунова,Казарменный переулок,переулок Хользунова | Казарменный переулок
проезд Черепановых,Станционное шоссе,проезд Черепановых | Станционное шоссе
Чапаевский переулок,Гимназический переулок,Чапаевский переулок | Гимназический переулок
переулок Чернышевского,Чернышевский переулок,переулок Чернышевского | Чернышевский переулок
Шмитовский проезд,Смитовский проезд,Шмитовский проезд | Смитовский проезд
улица Шухова,Сиротский переулок,улица Шухова | Сиротский переулок
улица Щепкина,3-я Мещанская улица,улица Щепкина | 3-я Мещанская улица
улица Большая Якиманка,улица Димитрова,улица Большая Якиманка | улица Димитрова
Яузская аллея,улица Шестой Километр,Яузская аллея | улица Шестой Километр
